Store,Rank,Total_Sales,Avg_Weekly_Sales,Std_Weekly_Sales,cv,holiday_lift_pct,Tier,MAPE_HoltWinters_%,MAPE_SeasonalNaive_%
42,34,79565752.42999999,556403.863146853,50262.92552974954,0.09033532809329822,2.185056364322313,Low-Volume,4.894260983145168,3.3591745929459904
9,35,77789218.99,543980.5523776223,69028.66658471408,0.12689546764678372,8.944053241989947,Mid-Volume,3.9243182636203278,4.148757614323883
29,36,77141554.31,539451.4287412588,99120.13659614499,0.18374246746816342,13.582602368870544,Mid-Volume,6.57322343559545,5.950239394131101
16,37,74252425.4,519247.7300699301,85769.68013311694,0.16518065494781428,9.90081967224754,Mid-Volume,2.6504148928137297,3.5009795626075944
37,38,74202740.32,518900.2819580419,21837.46119004889,0.042084118951807914,-2.353127784960274,Low-Volume,1.5489817207586554,2.080685067270847
30,39,62716885.12,438579.6162237762,22809.665590198485,0.05200803855544518,-0.4216134017927753,Low-Volume,1.2906209322537106,7.981554023744606
3,40,57586735.07,402704.44104895106,46319.6315569098,0.11502140735338803,9.435021334549809,Mid-Volume,2.006619686167409,7.417402739819451
38,41,55159626.42,385731.6532867133,42768.16944995045,0.11087544692154391,-1.1758095628669918,Low-Volume,4.983047988409725,7.883303452099461
36,42,53412214.97,373511.9927972028,60725.173578889786,0.16257891245773268,-1.6881295437877086,Low-Volume,4.99933848039556,18.108193684489038
5,43,45475688.9,318011.8104895105,37737.9657447451,0.11866844091939746,14.166536734218948,Mid-Volume,3.672174468113012,6.270412955706618
44,44,43293087.84,302748.86601398606,24762.83201523451,0.08179331054568062,-2.380193092415195,Low-Volume,2.3981488867015495,10.63857446267759
33,45,37160221.96,259861.69202797202,24132.9273222455,0.0928683529069294,1.1316126861515619,Low-Volume,6.7101673144602785,5.614172721350732
